id_number,place,cat_place,age_category,sex,2.5km_seconds,5km_seconds,7.5km_seconds,total_seconds
3001,6365,2028,35-44,M,697,1422,2153,3006
3002,2155,450,45-54,M,598,1256,1892,2663
3003,11204,634,55+,M,742,1473,2288,3307
3005,17399,4451,35-44,M,913,1764,2620,3616
3006,17506,3472,45-54,M,914,1763,2620,3621
3007,20010,732,16-19,M,768,1653,2583,3773
3009,5758,246,16-19,M,704,1432,2125,2970
3010,6539,1701,23-34,M,858,1533,2203,3018
3011,5292,1731,35-44,M,749,1436,2127,2941
3012,11914,2807,23-34,M,810,1592,2381,3342
3013,33022,5648,45-54,M,1147,2324,3469,5196
3014,19375,4796,35-44,M,953,1864,2711,3734
3015,28276,938,16-19,M,1066,2069,3067,4424
3016,24328,5648,35-44,M,1017,1969,2915,4079
3018,9823,2881,35-44,M,738,1465,2253,3229
3020,997,22,55+,M,616,1196,1753,2474
3021,12316,2594,45-54,M,873,1669,2435,3363
3023,2600,544,45-54,M,702,1324,1939,2713
3024,14452,2945,45-54,M,860,1678,2486,3471
3025,25426,5847,35-44,M,981,1942,2851,4163
3026,10179,2962,35-44,M,,1475,2241,3251
3027,3067,148,16-19,M,735,1406,2031,2764
3028,24223,4505,45-54,M,1066,2048,3008,4072
3029,18752,705,16-19,M,733,1641,2635,3696
3031,1897,709,35-44,M,664,1280,1900,2634
3032,4134,1127,23-34,M,660,1330,2022,2855
3034,16574,3311,45-54,M,923,1814,2659,3575
3035,27014,4880,45-54,M,1033,2045,3049,4300
3036,368,69,45-54,M,549,1109,1654,2303
3037,1818,370,45-54,M,664,1292,1886,2621
3038,14853,3416,23-34,M,813,1660,2486,3491
3039,9328,2003,45-54,M,861,1609,2342,3196
3040,6917,1788,23-34,M,793,1521,2202,3042
3042,4753,1010,45-54,M,723,1402,2080,2904
3043,4865,209,55+,M,749,1452,2120,2911
3044,27639,921,16-19,M,1059,2105,3117,4354
3045,16716,1011,55+,M,836,1682,2547,3583
3046,22756,4291,45-54,M,950,1889,2825,3962
3047,2965,1035,35-44,M,663,1298,1951,2753
3048,1746,51,55+,M,649,1258,1866,2610
3049,2865,1000,35-44,M,618,1263,1924,2742
3050,1815,369,45-54,M,649,1282,1894,2620
3051,885,179,45-54,M,584,1183,1768,2453
3052,11142,3174,35-44,M,791,1553,2326,3305
3053,9705,2358,23-34,M,739,1502,2289,3221
3054,3440,935,23-34,M,750,1423,2062,2798
3055,27537,5362,23-34,M,1073,2117,3090,4346
3056,1770,85,16-19,M,615,1232,1856,2614
3057,739,146,45-54,M,575,1173,1756,2423
3058,3592,977,23-34,M,666,1309,1958,2813
3060,21469,4513,23-34,M,996,1903,2837,3870
3062,8966,1924,45-54,M,752,1486,2231,3177
3063,15084,3039,45-54,M,820,1656,2484,3504
3064,1704,636,35-44,M,647,1270,1871,2603
3065,5478,243,55+,M,694,1421,2130,2954
3066,4810,1268,23-34,M,739,1431,2105,2907
3067,4158,1399,35-44,M,710,1396,2068,2857
3068,3200,671,45-54,M,681,1341,1988,2776
3069,18162,4015,23-34,M,928,1831,2690,3658
3070,6693,2117,35-44,M,741,1446,2155,3029
3071,3365,1161,35-44,M,700,1331,1998,2791
3074,11715,2474,45-54,M,,1579,2373,3333
3075,23425,5509,35-44,M,1030,1955,2879,4010
3076,7515,1589,45-54,M,755,1441,2171,3081
3077,11678,476,16-19,M,,1727,2480,3331
3079,2725,755,23-34,M,778,1388,1986,2727
3080,250,77,23-34,M,534,1098,1636,2237
3081,6692,2116,35-44,M,741,1447,2156,3029
3082,2585,539,45-54,M,696,1343,1972,2712
3083,25421,5846,35-44,M,989,1983,2984,4162
3084,379,139,35-44,M,602,1153,1688,2307
3085,3435,932,23-34,M,682,1339,1995,2798
3086,14578,873,55+,M,885,1720,2528,3477
3087,5534,1804,35-44,M,714,1415,2111,2957
3088,12295,2874,23-34,M,838,1627,2425,3362
3089,3253,123,20-22,M,625,1300,1983,2782
3090,9622,2060,45-54,M,822,1598,2337,3215
3092,4617,1229,23-34,M,685,1366,2049,2893
3093,8743,1872,45-54,M,,1550,2281,3164
3094,9996,2421,23-34,M,793,1547,2319,3241
3095,27412,4938,45-54,M,1040,2108,3128,4334
3096,22865,5433,35-44,M,942,1825,2713,3970
3097,15053,3457,23-34,M,859,1701,2527,3502
3098,26775,712,20-22,M,1076,2107,3088,4275
3099,1184,248,45-54,M,638,1230,1810,2513
3101,33249,5669,45-54,M,1222,2404,3560,5286
3102,2054,66,55+,M,671,1308,1922,2653
3103,17496,3894,23-34,M,871,1752,2613,3620
3104,2226,466,45-54,M,645,1280,1909,2671
3105,15067,598,16-19,M,875,1717,2541,3503
3106,15419,4046,35-44,M,902,1779,2599,3521
3107,4799,1265,23-34,M,680,1368,2071,2907
3108,1637,334,45-54,M,631,1253,1860,2592
3109,14116,3258,23-34,M,833,1641,2473,3455
3111,7600,2350,35-44,M,836,1561,2273,3087
3112,20318,4968,35-44,M,957,1859,2764,3793
3113,453,174,35-44,M,567,1128,1679,2343
3114,3779,791,45-54,M,750,1434,2072,2828
3115,7485,277,20-22,M,,1435,2204,3079
3116,3334,1153,35-44,M,693,1335,1986,2789
3118,26377,5213,23-34,M,1026,1977,2978,4243
3119,30450,979,16-19,M,1053,2089,3151,4692
3120,9236,2264,23-34,M,705,1447,2247,3191
3121,225,64,23-34,M,525,1065,1602,2223
3122,28393,1778,55+,M,956,1978,3019,4437
3123,18680,3664,45-54,M,876,1745,2637,3691
3124,33089,7055,35-44,M,1190,2567,3798,5227
3125,29094,5571,23-34,M,,2054,3048,4511
3126,754,149,45-54,M,589,1178,1754,2428
3128,10810,2297,45-54,M,,1682,2436,3288
3129,23235,5482,35-44,M,1019,1942,2856,3997
3130,2085,759,35-44,M,639,1266,1891,2655
3131,79,22,35-44,M,491,994,1485,2068
3132,3678,1002,23-34,M,700,1379,2040,2820
3133,4378,922,45-54,M,732,1412,2080,2874
3134,3249,117,55+,M,750,1405,2031,2782
3135,1040,290,23-34,M,620,1218,1798,2483
3136,1264,468,35-44,M,672,1269,1852,2528
3137,20486,4384,23-34,M,945,1865,2811,3803
3139,1037,289,23-34,M,598,1210,1799,2482
3140,958,197,45-54,M,618,1205,1776,2466
3141,21157,4072,45-54,M,,1781,2658,3850
3142,14375,3838,35-44,M,870,1682,2479,3468
3143,463,177,35-44,M,570,1133,1690,2346
3145,2570,536,45-54,M,667,1323,1956,2710
3146,5886,1894,35-44,M,779,1514,2192,2978
3147,19148,4759,35-44,M,912,1750,2584,3721
3148,3407,1174,35-44,M,,1339,1986,2795
3149,7088,1823,23-34,M,698,1461,2183,3054
3150,2399,668,23-34,M,574,1229,1886,2688
3151,28501,6339,35-44,M,1080,2235,3248,4446
3152,25377,1608,55+,M,1028,1991,2932,4159
3154,26797,5270,23-34,M,1197,2186,3120,4277
3156,2769,968,35-44,M,692,1346,1979,2731
